[main] Total elements: 8388608, bytes per buffer: 33554432, total required: 128 MB
==63305== NVPROF is profiling process 63305, command: ./bin/profile_harness --num_batches=256 --vocab_size=32768 --kernel=radix_v1 --warmup_runs=0 --runs=1
[run] Launching kernel 'radix_v1' (run 0)
==63305== Profiling application: ./bin/profile_harness --num_batches=256 --vocab_size=32768 --kernel=radix_v1 --warmup_runs=0 --runs=1
==63305== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
247.71ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.72ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.72ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.73ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.74ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.75ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.75ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.76ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.76ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.77ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.77ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.78ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.78ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.79ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.80ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.80ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.81ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.82ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.82ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.83ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.83ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.84ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.84ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.85ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.86ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.86ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.87ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.88ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.88ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.89ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.89ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.90ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.90ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.91ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.91ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.92ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.93ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.94ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.94ms  1.2800us                    -               -         -         -         -      128B  95.367MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.95ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.95ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.96ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.96ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.97ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
